Core:  x, status(serv): x, read: x, write: x, addr_in:   x, data_in:   x, data_out:   x, finish: x at 10.

Core:  0, status(serv): 0, read: 0, write: 0, addr_in:   0, data_in:   0, data_out:   x, finish: 0 at 30.

Core:  0, status(serv): 0, read: 0, write: 0, addr_in:   0, data_in:   0, data_out:   x, finish: 0 at 50.

Core:  0, status(serv): 0, read: 0, write: 0, addr_in:   0, data_in:   0, data_out:   x, finish: 0 at 70.

Core:  0, status(serv): 0, read: 0, write: 0, addr_in:   0, data_in:   0, data_out:   x, finish: 0 at 90.

Core:  0, status(serv): 0, read: 0, write: 0, addr_in:   0, data_in:   0, data_out:   x, finish: 0 at 110.

Core: 15, status(serv): 0, read: 0, write: 0, addr_in:   0, data_in:   0, data_out:   x, finish: 0 at 130.

Core:  0, status(serv): 0, read: 0, write: 0, addr_in:   0, data_in:   0, data_out:   x, finish: 0 at 150.

Core: 15, status(serv): 0, read: 0, write: 0, addr_in:   0, data_in:   0, data_out:   x, finish: 0 at 170.

Core:  0, status(serv): 0, read: 0, write: 0, addr_in:   0, data_in:   0, data_out:   x, finish: 0 at 190.

Core: 15, status(serv): 0, read: 0, write: 0, addr_in:   0, data_in:   0, data_out:   x, finish: 0 at 210.

Core:  0, status(serv): 0, read: 0, write: 0, addr_in:   0, data_in:   0, data_out:   x, finish: 0 at 230.

Core: 15, status(serv): 0, read: 0, write: 0, addr_in:   0, data_in:   0, data_out:   x, finish: 0 at 250.

Core:  0, status(serv): 0, read: 0, write: 0, addr_in:   0, data_in:   0, data_out:   x, finish: 0 at 270.

Core: 15, status(serv): 0, read: 0, write: 0, addr_in:   0, data_in:   0, data_out:   x, finish: 0 at 290.

Core:  0, status(serv): 0, read: 0, write: 0, addr_in:   0, data_in:   0, data_out:   x, finish: 0 at 310.

Core: 15, status(serv): 0, read: 0, write: 0, addr_in:   0, data_in:   0, data_out:   x, finish: 0 at 330.

Core:  0, status(serv): 0, read: 0, write: 0, addr_in:   0, data_in:   0, data_out:   x, finish: 0 at 350.

Core: 15, status(serv): 0, read: 0, write: 0, addr_in:   0, data_in:   0, data_out:   x, finish: 0 at 370.

Core:  0, status(serv): 0, read: 0, write: 0, addr_in:   0, data_in:   0, data_out:   x, finish: 0 at 390.

Core: 15, status(serv): 0, read: 0, write: 0, addr_in:   0, data_in:   0, data_out:   x, finish: 0 at 410.

Core:  0, status(serv): 0, read: 0, write: 0, addr_in:   0, data_in:   0, data_out:   x, finish: 0 at 430.

Core: 15, status(serv): 0, read: 0, write: 0, addr_in:   0, data_in:   0, data_out:   x, finish: 0 at 450.

Core:  0, status(serv): 0, read: 0, write: 0, addr_in:   0, data_in:   0, data_out:   x, finish: 0 at 470.

Core: 15, status(serv): 0, read: 0, write: 0, addr_in:   0, data_in:   0, data_out:   x, finish: 0 at 490.

Core:  0, status(serv): 0, read: 0, write: 0, addr_in:   0, data_in:   0, data_out:   x, finish: 0 at 510.

Core: 15, status(serv): 0, read: 0, write: 0, addr_in:   0, data_in:   0, data_out:   x, finish: 0 at 530.

Core:  0, status(serv): 0, read: 0, write: 0, addr_in:   0, data_in:   0, data_out:   x, finish: 0 at 550.

Core: 15, status(serv): 0, read: 0, write: 0, addr_in:   0, data_in:   0, data_out:   x, finish: 0 at 570.

Core:  0, status(serv): 0, read: 0, write: 0, addr_in:   0, data_in:   0, data_out:   x, finish: 0 at 590.

Core: 15, status(serv): 0, read: 0, write: 0, addr_in:   0, data_in:   0, data_out:   x, finish: 0 at 610.

Core:  0, status(serv): 0, read: 0, write: 0, addr_in:   0, data_in:   0, data_out:   x, finish: 0 at 630.

Core: 15, status(serv): 0, read: 0, write: 0, addr_in:   0, data_in:   0, data_out:   x, finish: 0 at 650.

Core:  0, status(serv): 0, read: 0, write: 0, addr_in:   0, data_in:   0, data_out:   x, finish: 0 at 670.

Core: 15, status(serv): 0, read: 0, write: 0, addr_in:   0, data_in:   0, data_out:   x, finish: 0 at 690.

Core:  0, status(serv): 0, read: 0, write: 0, addr_in:   0, data_in:   0, data_out:   x, finish: 0 at 710.

Core: 15, status(serv): 0, read: 0, write: 0, addr_in:   0, data_in:   0, data_out:   x, finish: 0 at 730.

Core:  0, status(serv): 0, read: 0, write: 0, addr_in:   0, data_in:   0, data_out:   x, finish: 0 at 750.

Core: 15, status(serv): 0, read: 0, write: 0, addr_in:   0, data_in:   0, data_out:   x, finish: 0 at 770.

Core:  0, status(serv): 0, read: 0, write: 0, addr_in:   0, data_in:   0, data_out:   x, finish: 0 at 790.

Core: 15, status(serv): 0, read: 0, write: 0, addr_in:   0, data_in:   0, data_out:   x, finish: 0 at 810.

Core:  0, status(serv): 0, read: 0, write: 0, addr_in:   0, data_in:   0, data_out:   x, finish: 0 at 830.

Core: 15, status(serv): 0, read: 0, write: 0, addr_in:   0, data_in:   0, data_out:   x, finish: 0 at 850.

Core:  0, status(serv): 0, read: 0, write: 0, addr_in:   0, data_in:   0, data_out:   x, finish: 0 at 870.

Core: 15, status(serv): 0, read: 0, write: 0, addr_in:   0, data_in:   0, data_out:   x, finish: 0 at 890.

Core:  0, status(serv): 0, read: 0, write: 0, addr_in:   0, data_in:   0, data_out:   x, finish: 0 at 910.

Core: 15, status(serv): 0, read: 0, write: 0, addr_in:   0, data_in:   0, data_out:   x, finish: 0 at 930.

Core:  0, status(serv): 0, read: 0, write: 0, addr_in:   0, data_in:   0, data_out:   x, finish: 0 at 950.

Core: 15, status(serv): 0, read: 0, write: 0, addr_in:   0, data_in:   0, data_out:   x, finish: 0 at 970.

Core:  0, status(serv): 0, read: 0, write: 0, addr_in:   0, data_in:   0, data_out:   x, finish: 0 at 990.

Core: 15, status(serv): 0, read: 0, write: 0, addr_in:   0, data_in:   0, data_out:   x, finish: 0 at 1010.

Core:  0, status(serv): 0, read: 0, write: 0, addr_in:   0, data_in:   0, data_out:   x, finish: 0 at 1030.

Core: 15, status(serv): 0, read: 0, write: 0, addr_in:   0, data_in:   0, data_out:   x, finish: 0 at 1050.

Core:  0, status(serv): 0, read: 0, write: 0, addr_in:   0, data_in:   0, data_out:   x, finish: 0 at 1070.

Core: 15, status(serv): 0, read: 0, write: 0, addr_in:   0, data_in:   0, data_out:   x, finish: 0 at 1090.

Core:  0, status(serv): 0, read: 0, write: 0, addr_in:   0, data_in:   0, data_out:   x, finish: 0 at 1110.

Core: 15, status(serv): 0, read: 0, write: 0, addr_in:   0, data_in:   0, data_out:   x, finish: 0 at 1130.

Core:  0, status(serv): 0, read: 0, write: 0, addr_in:   0, data_in:   0, data_out:   x, finish: 0 at 1150.

Core: 15, status(serv): 0, read: 0, write: 0, addr_in:   0, data_in:   0, data_out:   x, finish: 0 at 1170.

Core:  0, status(serv): 0, read: 0, write: 0, addr_in:   0, data_in:   0, data_out:   x, finish: 0 at 1190.

Core: 15, status(serv): 0, read: 0, write: 0, addr_in:   0, data_in:   0, data_out:   x, finish: 0 at 1210.

Core:  0, status(serv): 0, read: 0, write: 0, addr_in:   0, data_in:   0, data_out:   x, finish: 0 at 1230.

Core: 15, status(serv): 0, read: 0, write: 0, addr_in:   0, data_in:   0, data_out:   x, finish: 0 at 1250.

Core:  0, status(serv): 0, read: 0, write: 0, addr_in:   0, data_in:   0, data_out:   x, finish: 0 at 1270.

Core: 15, status(serv): 0, read: 0, write: 0, addr_in:   0, data_in:   0, data_out:   x, finish: 0 at 1290.

Core:  0, status(serv): 0, read: 0, write: 0, addr_in:   0, data_in:   0, data_out:   x, finish: 0 at 1310.

Core: 15, status(serv): 0, read: 0, write: 0, addr_in:   0, data_in:   0, data_out:   x, finish: 0 at 1330.

Core:  0, status(serv): 0, read: 0, write: 0, addr_in:   0, data_in:   0, data_out:   x, finish: 0 at 1350.

Core: 15, status(serv): 0, read: 0, write: 0, addr_in:   0, data_in:   0, data_out:   x, finish: 0 at 1370.

Core:  0, status(serv): 0, read: 0, write: 0, addr_in:   0, data_in:   0, data_out:   x, finish: 0 at 1390.

Core: 15, status(serv): 0, read: 0, write: 0, addr_in:   0, data_in:   0, data_out:   x, finish: 0 at 1410.

Core:  0, status(serv): 0, read: 0, write: 0, addr_in:   0, data_in:   0, data_out:   x, finish: 0 at 1430.

Core: 15, status(serv): 0, read: 0, write: 1, addr_in:   0, data_in: 240, data_out:   x, finish: 0 at 1450.

Core:  0, status(serv): 0, read: 0, write: 0, addr_in:   0, data_in:   0, data_out:   x, finish: 0 at 1470.

Core:  1, status(serv): 0, read: 0, write: 1, addr_in:   0, data_in:  16, data_out:   x, finish: 0 at 1490.

Core:  2, status(serv): 0, read: 0, write: 1, addr_in:   0, data_in:  32, data_out:   x, finish: 0 at 1510.

Core:  3, status(serv): 0, read: 0, write: 1, addr_in:   0, data_in:  48, data_out:   x, finish: 0 at 1530.

Core:  4, status(serv): 0, read: 0, write: 1, addr_in:   0, data_in:  64, data_out:   x, finish: 0 at 1550.

Core:  5, status(serv): 0, read: 0, write: 1, addr_in:   0, data_in:  80, data_out:   x, finish: 0 at 1570.

Core:  6, status(serv): 0, read: 0, write: 1, addr_in:   0, data_in:  96, data_out:   x, finish: 0 at 1590.

Core:  7, status(serv): 0, read: 0, write: 1, addr_in:   0, data_in: 112, data_out:   x, finish: 0 at 1610.

Core:  8, status(serv): 0, read: 0, write: 1, addr_in:   0, data_in: 128, data_out:   x, finish: 0 at 1630.

Core:  9, status(serv): 0, read: 0, write: 1, addr_in:   0, data_in: 144, data_out:   x, finish: 0 at 1650.

Core: 10, status(serv): 0, read: 0, write: 1, addr_in:   0, data_in: 160, data_out:   x, finish: 0 at 1670.

Core: 11, status(serv): 0, read: 0, write: 1, addr_in:   0, data_in: 176, data_out:   x, finish: 0 at 1690.

Core: 12, status(serv): 0, read: 0, write: 1, addr_in:   0, data_in: 192, data_out:   x, finish: 0 at 1710.

Core: 13, status(serv): 1, read: 0, write: 1, addr_in:   0, data_in: 208, data_out:   x, finish: 0 at 1730.

Core: 13, status(serv): 0, read: 0, write: 1, addr_in:   0, data_in: 208, data_out:   x, finish: 1 at 1750.

Core: 14, status(serv): 0, read: 0, write: 1, addr_in:   0, data_in: 224, data_out:   x, finish: 0 at 1770.

Core: 15, status(serv): 0, read: 0, write: 0, addr_in:   0, data_in: 240, data_out:   x, finish: 0 at 1790.

Core:  0, status(serv): 0, read: 0, write: 0, addr_in:   0, data_in:   0, data_out:   x, finish: 0 at 1810.

Core: 15, status(serv): 0, read: 0, write: 0, addr_in:   0, data_in: 240, data_out:   x, finish: 0 at 1830.

Core:  0, status(serv): 0, read: 0, write: 0, addr_in:   0, data_in:   0, data_out:   x, finish: 0 at 1850.

Core: 15, status(serv): 0, read: 0, write: 0, addr_in:   0, data_in: 240, data_out:   x, finish: 0 at 1870.

Core:  0, status(serv): 0, read: 0, write: 0, addr_in:   0, data_in:   0, data_out:   x, finish: 0 at 1890.

Core: 15, status(serv): 0, read: 0, write: 0, addr_in:   0, data_in: 240, data_out:   x, finish: 0 at 1910.

Core:  0, status(serv): 0, read: 0, write: 0, addr_in:   0, data_in:   0, data_out:   x, finish: 0 at 1930.

Core: 15, status(serv): 0, read: 0, write: 0, addr_in:   0, data_in: 240, data_out:   x, finish: 0 at 1950.

Core:  0, status(serv): 0, read: 0, write: 0, addr_in:   0, data_in:   0, data_out:   x, finish: 0 at 1970.

Core: 15, status(serv): 0, read: 0, write: 1, addr_in:   4, data_in: 240, data_out:   x, finish: 0 at 1990.

Core:  0, status(serv): 0, read: 0, write: 1, addr_in:   0, data_in:   0, data_out:   x, finish: 0 at 2010.

Core: 15, status(serv): 0, read: 0, write: 0, addr_in:   4, data_in: 240, data_out:   x, finish: 0 at 2030.

Core:  0, status(serv): 0, read: 0, write: 0, addr_in:   0, data_in:   0, data_out:   x, finish: 0 at 2050.

Core:  1, status(serv): 0, read: 0, write: 1, addr_in:   4, data_in:  16, data_out:   x, finish: 0 at 2070.

Core:  2, status(serv): 0, read: 0, write: 1, addr_in:   4, data_in:  32, data_out:   x, finish: 0 at 2090.

Core:  3, status(serv): 0, read: 0, write: 1, addr_in:   4, data_in:  48, data_out:   x, finish: 0 at 2110.

Core:  4, status(serv): 0, read: 0, write: 1, addr_in:   4, data_in:  64, data_out:   x, finish: 0 at 2130.

Core:  5, status(serv): 0, read: 0, write: 1, addr_in:   4, data_in:  80, data_out:   x, finish: 0 at 2150.

Core:  6, status(serv): 0, read: 0, write: 1, addr_in:   4, data_in:  96, data_out:   x, finish: 0 at 2170.

Core:  7, status(serv): 0, read: 0, write: 1, addr_in:   4, data_in: 112, data_out:   x, finish: 0 at 2190.

Core:  8, status(serv): 0, read: 0, write: 1, addr_in:   4, data_in: 128, data_out:   x, finish: 0 at 2210.

Core:  9, status(serv): 0, read: 0, write: 1, addr_in:   4, data_in: 144, data_out:   x, finish: 0 at 2230.

Core: 10, status(serv): 0, read: 0, write: 1, addr_in:   4, data_in: 160, data_out:   x, finish: 0 at 2250.

Core: 11, status(serv): 0, read: 0, write: 1, addr_in:   4, data_in: 176, data_out:   x, finish: 0 at 2270.

Core: 12, status(serv): 0, read: 0, write: 1, addr_in:   4, data_in: 192, data_out:   x, finish: 0 at 2290.

Core: 13, status(serv): 1, read: 0, write: 1, addr_in:   4, data_in: 208, data_out:   x, finish: 0 at 2310.

Core: 13, status(serv): 0, read: 0, write: 1, addr_in:   4, data_in: 208, data_out:   x, finish: 1 at 2330.

Core: 14, status(serv): 0, read: 0, write: 1, addr_in:   4, data_in: 224, data_out:   x, finish: 0 at 2350.

Core: 15, status(serv): 0, read: 0, write: 0, addr_in:   4, data_in: 240, data_out:   x, finish: 0 at 2370.

Core:  0, status(serv): 0, read: 0, write: 0, addr_in:   0, data_in:   0, data_out:   x, finish: 0 at 2390.

Core:  1, status(serv): 0, read: 0, write: 1, addr_in:   4, data_in:  20, data_out:   x, finish: 0 at 2410.

Core: 15, status(serv): 0, read: 0, write: 0, addr_in:   4, data_in: 240, data_out:   x, finish: 0 at 2430.

Core:  0, status(serv): 0, read: 0, write: 0, addr_in:   0, data_in:   0, data_out:   x, finish: 0 at 2450.

Core: 15, status(serv): 0, read: 0, write: 0, addr_in:   4, data_in: 240, data_out:   x, finish: 0 at 2470.

Core:  0, status(serv): 0, read: 0, write: 0, addr_in:   0, data_in:   0, data_out:   x, finish: 0 at 2490.

Core: 15, status(serv): 0, read: 0, write: 0, addr_in:   4, data_in: 240, data_out:   x, finish: 0 at 2510.

Core:  0, status(serv): 0, read: 0, write: 1, addr_in:   1, data_in:   4, data_out:   x, finish: 0 at 2530.

Core: 15, status(serv): 0, read: 0, write: 1, addr_in:   8, data_in: 240, data_out:   x, finish: 0 at 2550.

Core:  0, status(serv): 0, read: 0, write: 0, addr_in:   1, data_in:   4, data_out:   x, finish: 0 at 2570.

Core: 15, status(serv): 0, read: 0, write: 0, addr_in:   8, data_in: 240, data_out:   x, finish: 0 at 2590.

Core:  0, status(serv): 0, read: 0, write: 0, addr_in:   1, data_in:   4, data_out:   x, finish: 0 at 2610.

Core: 15, status(serv): 0, read: 0, write: 0, addr_in:   8, data_in: 240, data_out:   x, finish: 0 at 2630.

Core:  0, status(serv): 0, read: 0, write: 0, addr_in:   1, data_in:   4, data_out:   x, finish: 0 at 2650.

Core:  2, status(serv): 0, read: 0, write: 1, addr_in:   8, data_in:  32, data_out:   x, finish: 0 at 2670.

Core:  3, status(serv): 0, read: 0, write: 1, addr_in:   8, data_in:  48, data_out:   x, finish: 0 at 2690.

Core:  4, status(serv): 0, read: 0, write: 1, addr_in:   8, data_in:  64, data_out:   x, finish: 0 at 2710.

Core:  5, status(serv): 0, read: 0, write: 1, addr_in:   8, data_in:  80, data_out:   x, finish: 0 at 2730.

Core:  6, status(serv): 0, read: 0, write: 1, addr_in:   8, data_in:  96, data_out:   x, finish: 0 at 2750.

Core:  7, status(serv): 0, read: 0, write: 1, addr_in:   8, data_in: 112, data_out:   x, finish: 0 at 2770.

Core:  8, status(serv): 0, read: 0, write: 1, addr_in:   8, data_in: 128, data_out:   x, finish: 0 at 2790.

Core:  9, status(serv): 0, read: 0, write: 1, addr_in:   8, data_in: 144, data_out:   x, finish: 0 at 2810.

Core: 10, status(serv): 0, read: 0, write: 1, addr_in:   8, data_in: 160, data_out:   x, finish: 0 at 2830.

Core: 11, status(serv): 0, read: 0, write: 1, addr_in:   8, data_in: 176, data_out:   x, finish: 0 at 2850.

Core: 12, status(serv): 0, read: 0, write: 1, addr_in:   8, data_in: 192, data_out:   x, finish: 0 at 2870.

Core: 13, status(serv): 1, read: 0, write: 1, addr_in:   8, data_in: 208, data_out:   x, finish: 0 at 2890.

Core: 13, status(serv): 0, read: 0, write: 1, addr_in:   8, data_in: 208, data_out:   x, finish: 1 at 2910.

Core: 14, status(serv): 0, read: 0, write: 1, addr_in:   8, data_in: 224, data_out:   x, finish: 0 at 2930.

Core: 15, status(serv): 0, read: 0, write: 0, addr_in:   8, data_in: 240, data_out:   x, finish: 0 at 2950.

Core:  0, status(serv): 0, read: 0, write: 0, addr_in:   1, data_in:   4, data_out:   x, finish: 0 at 2970.

Core:  1, status(serv): 0, read: 0, write: 0, addr_in:   5, data_in:  20, data_out:   x, finish: 0 at 2990.

Core:  2, status(serv): 0, read: 0, write: 1, addr_in:   8, data_in:  36, data_out:   x, finish: 0 at 3010.

Core: 15, status(serv): 0, read: 0, write: 0, addr_in:   8, data_in: 240, data_out:   x, finish: 0 at 3030.

Core:  0, status(serv): 0, read: 0, write: 0, addr_in:   1, data_in:   4, data_out:   x, finish: 0 at 3050.

Core: 15, status(serv): 0, read: 0, write: 1, addr_in:  12, data_in: 240, data_out:   x, finish: 0 at 3070.

Core:  0, status(serv): 0, read: 0, write: 1, addr_in:   2, data_in:   8, data_out:   x, finish: 0 at 3090.

Core: 15, status(serv): 0, read: 0, write: 0, addr_in:  12, data_in: 240, data_out:   x, finish: 0 at 3110.

Core:  0, status(serv): 0, read: 0, write: 0, addr_in:   2, data_in:   8, data_out:   x, finish: 0 at 3130.

Core: 15, status(serv): 0, read: 0, write: 0, addr_in:  12, data_in: 240, data_out:   x, finish: 0 at 3150.

Core:  0, status(serv): 0, read: 0, write: 0, addr_in:   2, data_in:   8, data_out:   x, finish: 0 at 3170.

Core: 15, status(serv): 0, read: 0, write: 0, addr_in:  12, data_in: 240, data_out:   x, finish: 0 at 3190.

Core:  0, status(serv): 0, read: 0, write: 0, addr_in:   2, data_in:   8, data_out:   x, finish: 0 at 3210.

Core:  1, status(serv): 0, read: 0, write: 1, addr_in:   5, data_in:  24, data_out:   x, finish: 0 at 3230.

Core:  3, status(serv): 0, read: 0, write: 1, addr_in:  12, data_in:  48, data_out:   x, finish: 0 at 3250.

Core:  4, status(serv): 0, read: 0, write: 1, addr_in:  12, data_in:  64, data_out:   x, finish: 0 at 3270.

Core:  5, status(serv): 0, read: 0, write: 1, addr_in:  12, data_in:  80, data_out:   x, finish: 0 at 3290.

Core:  6, status(serv): 0, read: 0, write: 1, addr_in:  12, data_in:  96, data_out:   x, finish: 0 at 3310.

Core:  7, status(serv): 0, read: 0, write: 1, addr_in:  12, data_in: 112, data_out:   x, finish: 0 at 3330.

Core:  8, status(serv): 0, read: 0, write: 1, addr_in:  12, data_in: 128, data_out:   x, finish: 0 at 3350.

Core:  9, status(serv): 0, read: 0, write: 1, addr_in:  12, data_in: 144, data_out:   x, finish: 0 at 3370.

Core: 10, status(serv): 0, read: 0, write: 1, addr_in:  12, data_in: 160, data_out:   x, finish: 0 at 3390.

Core: 11, status(serv): 0, read: 0, write: 1, addr_in:  12, data_in: 176, data_out:   x, finish: 0 at 3410.

Core: 12, status(serv): 0, read: 0, write: 1, addr_in:  12, data_in: 192, data_out:   x, finish: 0 at 3430.

Core: 13, status(serv): 1, read: 0, write: 1, addr_in:  12, data_in: 208, data_out:   x, finish: 0 at 3450.

Core: 13, status(serv): 0, read: 0, write: 1, addr_in:  12, data_in: 208, data_out:   x, finish: 1 at 3470.

Core: 14, status(serv): 0, read: 0, write: 1, addr_in:  12, data_in: 224, data_out:   x, finish: 0 at 3490.

Core: 15, status(serv): 0, read: 0, write: 0, addr_in:  12, data_in: 240, data_out:   x, finish: 0 at 3510.

Core:  0, status(serv): 0, read: 0, write: 0, addr_in:   2, data_in:   8, data_out:   x, finish: 0 at 3530.

Core:  2, status(serv): 0, read: 0, write: 1, addr_in:   9, data_in:  36, data_out:   x, finish: 0 at 3550.

Core:  3, status(serv): 0, read: 0, write: 1, addr_in:  12, data_in:  52, data_out:   x, finish: 0 at 3570.

Core: 15, status(serv): 0, read: 0, write: 0, addr_in:  12, data_in: 240, data_out:   x, finish: 0 at 3590.

Core:  0, status(serv): 0, read: 0, write: 1, addr_in:   3, data_in:  12, data_out:   x, finish: 0 at 3610.

Core: 15, status(serv): 0, read: 0, write: 1, addr_in:  16, data_in: 240, data_out:   x, finish: 0 at 3630.

Core:  0, status(serv): 0, read: 0, write: 0, addr_in:   3, data_in:  12, data_out:   x, finish: 0 at 3650.

Core: 15, status(serv): 0, read: 0, write: 0, addr_in:  16, data_in: 240, data_out:   x, finish: 0 at 3670.

Core:  0, status(serv): 0, read: 0, write: 0, addr_in:   3, data_in:  12, data_out:   x, finish: 0 at 3690.

Core:  1, status(serv): 0, read: 0, write: 1, addr_in:   6, data_in:  24, data_out:   x, finish: 0 at 3710.

Core: 15, status(serv): 0, read: 0, write: 0, addr_in:  16, data_in: 240, data_out:   x, finish: 0 at 3730.

Core:  0, status(serv): 0, read: 0, write: 0, addr_in:   3, data_in:  12, data_out:   x, finish: 0 at 3750.

Core: 15, status(serv): 0, read: 0, write: 0, addr_in:  16, data_in: 240, data_out:   x, finish: 0 at 3770.

Core:  0, status(serv): 0, read: 0, write: 0, addr_in:   3, data_in:  12, data_out:   x, finish: 0 at 3790.

Core: 15, status(serv): 0, read: 0, write: 0, addr_in:  16, data_in: 240, data_out:   x, finish: 0 at 3810.

Core:  0, status(serv): 0, read: 0, write: 0, addr_in:   3, data_in:  12, data_out:   x, finish: 0 at 3830.

Core:  2, status(serv): 0, read: 0, write: 1, addr_in:   9, data_in:  40, data_out:   x, finish: 0 at 3850.

Core:  4, status(serv): 0, read: 0, write: 1, addr_in:  16, data_in:  64, data_out:   x, finish: 0 at 3870.

Core:  5, status(serv): 0, read: 0, write: 1, addr_in:  16, data_in:  80, data_out:   x, finish: 0 at 3890.

Core:  6, status(serv): 0, read: 0, write: 1, addr_in:  16, data_in:  96, data_out:   x, finish: 0 at 3910.

Core:  7, status(serv): 0, read: 0, write: 1, addr_in:  16, data_in: 112, data_out:   x, finish: 0 at 3930.

Core:  8, status(serv): 0, read: 0, write: 1, addr_in:  16, data_in: 128, data_out:   x, finish: 0 at 3950.

Core:  9, status(serv): 0, read: 0, write: 1, addr_in:  16, data_in: 144, data_out:   x, finish: 0 at 3970.

Core: 10, status(serv): 0, read: 0, write: 1, addr_in:  16, data_in: 160, data_out:   x, finish: 0 at 3990.

Core: 11, status(serv): 0, read: 0, write: 1, addr_in:  16, data_in: 176, data_out:   x, finish: 0 at 4010.

Core: 12, status(serv): 0, read: 0, write: 1, addr_in:  16, data_in: 192, data_out:   x, finish: 0 at 4030.

